ot	addrs_numb	company
408	5	"Motorola (Wuhan) Mobility Technologies Communication Co., Ltd."
409	5	FAST Inc
410	5	"YICHEN (SHENZHEN) TECHNOLOGY CO.,LTD"
411	5	Seiko Epson Corporation
412	5	"CHONGQING FUGUI ELECTRONICS CO.,LTD."
413	5	Nutanix
414	5	"Shenzhen Cultraview Digital Technology Co.,Ltd Shanghai Branch"
415	5	"XIAOMI Electronics,CO.,LTD"
416	5	"Shenzhen Urovo Technology Co.,Ltd."
417	5	"TPV Display Technology(Xiamen) Co.,Ltd."
418	4	"Quectel Wireless Solutions Co.,Ltd."
419	4	MSC VERTRIEBS GMBH
420	4	"Shenzhen Shiningworth Technology Co., Ltd."
421	4	PLANEX COMMUNICATIONS INC.
422	4	Emulex Corporation
423	4	DrayTek Corp.
424	4	PLANET Technology Corporation
425	4	Nokia
426	4	"Globalscale Technologies, Inc."
427	4	Qotom
428	4	Eaton Corporation
429	4	WASKO S.A.
430	4	"D-LINK SYSTEMS, INC."
431	4	RRCN SAS
432	4	Iskratel d.o.o.
433	4	"OpenGear, Inc"
434	4	TQ - COMPONENTS GMBH
435	4	"Wush, Inc"
436	4	"Zhuolian (Shenzhen) Communication Co., Ltd"
437	4	Novatium Solutions (P) Ltd
438	4	"TOKYO ELECTRIC CO.,LTD"
439	4	"IWATSU ELECTRIC CO., LTD."
440	4	"AXIOM TECHNOLOGY CO., LTD."
441	4	FS COM INC
442	4	HyBroad Vision (Hong Kong) Technology Co Ltd
443	4	SYTEK INC.
444	4	"Wistron InfoComm(Kunshan)Co.,Ltd."
445	4	CARRIER ACCESS CORPORATION
446	4	Edimax Technology Co. Ltd.
447	3	WESTERN DIGITAL CORPORATION
448	3	Carel s.p.a.
449	3	Realme Chongqing MobileTelecommunications Corp Ltd
450	3	"SHENZHEN JEHE TECHNOLOGY DEVELOPMENT CO., LTD."
451	3	LG ELECTRONICS INC
452	3	Oasis Media Systems LLC
453	3	"IBASE Technology, Inc."
454	3	Iskra Transmission d.d.
455	3	TechNexion Ltd.
456	3	Microchip Technology Inc.
457	3	"SHENZHEN FAST TECHNOLOGIES CO.,LTD"
458	3	"IT Watchdogs, Inc"
459	3	GUANGZHOU GAOKE COMMUNICATIONS TECHNOLOGY CO.LTD.
460	3	Thomson Telecom Belgium
461	3	"Shenzhen Jiapeng Huaxiang Technology Co.,Ltd"
462	3	"Shenzhen Hanzsung Technology Co.,Ltd"
463	3	BIOSTAR Microtech Int'l Corp.
464	3	"Hon Hai Precision Industry Co., Ltd."
465	3	"YSTen Technology Co.,Ltd"
466	3	AAEON Technology Inc.
467	3	Kontron Europe GmbH
468	3	"Nubia Technology Co.,Ltd."
469	3	MINIX Technology Limited
470	3	"EDUP INTERNATIONAL (HK) CO., LTD"
471	3	"Technicolor (China) Technology Co., Ltd."
472	3	HTC Corporation
473	3	Wistron Corporation
474	3	Sercomm Japan Corporation
475	3	"MARVELL SEMICONDUCTOR, INC."
476	3	"Zhejiang Dahua Technology Co., Ltd."
477	3	DASAN Newtork Solutions
478	3	CLEVO CO.
479	3	ASIX Electronics Corporation
480	3	Ugreen Group Limited
481	3	"Aloys, Inc"
482	3	Vantiva - Connected Home
483	3	"MICRO-STAR INT'L CO.,LTD"
484	3	"Honor Device Co., Ltd."
485	3	"LANBit Computer, Inc."
486	3	Inventec(Chongqing) Corporation
487	3	"N-Radio Technologies Co., Ltd."
488	3	Biostar Microtech international corp.
489	3	"Taiwan Commate Computer, Inc."
490	3	NAGTECH LLC
491	3	"Hisense Electric Co.,Ltd"
492	3	"VIA TECHNOLOGIES, INC."
493	3	"J125, NATIONAL SECURITY AGENCY"
494	3	Check Point Software Technologies
495	3	Thomas-Krenn.AG
496	3	ZillionTV Corporation
497	3	"Newisys,Inc."
498	2	Alcatel-Lucent IPD
499	2	"PORTWELL, INC."
500	2	Sunrich Technology Limited
501	2	WESTERN DIGITAL
502	2	FIREWALLA INC
503	2	"KONICA MINOLTA HOLDINGS, INC."
504	2	"Shenzhen Century Xinyang Technology Co., Ltd"
505	2	"Panasonic Communications Co., Ltd."
506	2	Sichuan Changhong Electric Ltd.
507	2	Plugable Technologies
508	2	FireBrick Ltd
509	2	"Shenzhen Zeroone Technology CO.,LTD"
510	2	"Guangzhou Lango Electronics Technology Co.,Ltd."
511	2	Cloud Network Technology (Samoa) Limited
512	2	BINTEC COMMUNICATIONS GMBH
513	2	"MICRO-STAR INTERNATIONAL CO., LTD."
514	2	ICP Internet Communication Payment AG
515	2	CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
516	2	KYOCERA Corporation
517	2	Guangzhou?Shiyuan?Electronic?Technology?Company?Limited
518	2	"Billion Electric Co., Ltd."
519	2	"BizLink (Kunshan) Co.,Ltd"
520	2	"ShenZhen Konka Telecommunication Technology Co.,Ltd"
521	2	Iton Technology Corp.
522	2	Techvision Intelligent Technology Limited
523	2	"Chiun Mai Communication System, Inc"
524	2	"LVL 7 Systems, Inc."
525	2	NVIDIA
526	2	Speed Dragon Multimedia Limited
527	2	"MISYS FINANCIAL SYSTEMS, LTD."
528	2	NETCOMM LIMITED
529	2	Mercku
530	2	Mobotix AG
531	2	"SHENZHEN XUNLONG SOFTWARE CO.,LIMITED"
532	2	"Epigram, Inc."
533	2	Gennet s.a.
534	2	Startel
535	2	"Allied Telesis, Inc."
536	2	"FUNAI ELECTRIC CO., LTD."
537	2	Winstars Technology Ltd
538	2	Xerox Corporation
539	2	Flextronics International
540	2	IBM Corporation
541	2	"Airocon, Inc."
542	2	TP Vision Belgium NV
543	2	SECO SRL
544	2	Toshiba
545	2	"Brother industries, LTD."
546	2	PC Aquarius
547	2	PHAST CORPORATION
548	2	SEH COMPUTERTECHNIK GMBH
549	2	iComm HK LIMITED
550	2	Seeed Technology Inc.
551	2	"Shenzhen Linkworld Technology Co,.LTD"
552	2	DH TECHNOLOGY
553	2	"Shanghai Infinity Wireless Technologies Co.,Ltd."
554	2	Pakedge Device and Software Inc
555	2	Cable Matters Inc.
556	2	DIGIBRAS INDUSTRIA DO BRASILS/A
557	2	Precision I/O
558	2	"Qingdao Hisense Electronics Co.,Ltd."
559	2	"Beijing Sinead Technology Co., Ltd."
560	2	TP-Link Systems Inc.
561	2	"Evoc Intelligent Technology Co.,Ltd."
562	2	"NETRONIX, INC."
563	2	Shenzhen JMicron Intelligent Technology Developmen
564	2	"shenzhen UDD Technologies,co.,Ltd"
565	2	Dyson Limited
566	2	ConSentry Networks
567	2	"Advantech Technology (CHINA) Co., Ltd."
568	1	"RIOWORKS SOLUTIONS, INC."
569	1	Zenith Electronics Corporation
570	1	"Mega System Technologies, Inc."
571	1	Nokia Danmark A/S
572	1	MITAC COMPUTING TECHNOLOGY CORPORATION
573	1	"AEWIN Technologies Co., Ltd."
574	1	"CradlePoint, Inc"
575	1	Entrada Networks
576	1	"Unitech electronics co., ltd."
577	1	"Sichuan?AI-Link?Technology?Co.,?Ltd."
578	1	"Universal Electronics, Inc."
579	1	Veritech Electronics Limited
580	1	"DAVICOM SEMICONDUCTOR, INC."
581	1	Orion MultiSystems Inc
582	1	"Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd"
583	1	Laird Connectivity
584	1	Western Telematic Inc.
585	1	Castlenet Technology Inc.
586	1	"GOOD WAY IND. CO., LTD."
587	1	"kasercorp, ltd"
588	1	CODEX CORPORATION
589	1	FN-LINK TECHNOLOGY Ltd.
590	1	Wingtech Group (HongKong£©Limited
591	1	Rosewill Inc.
592	1	"LEX COMPUTECH CO., LTD"
593	1	SolidRun Ltd.
594	1	"Hon Hai Precision IND.CO.,LTD"
595	1	Akamai Technologies Inc.
596	1	"MYRICOM, INC."
597	1	Kasda Networks Inc
598	1	"WatchGuard Technologies, Inc."
599	1	SOUND4
600	1	T.O.M TECHNOLOGY INC..
601	1	"Shenzhen Comstar .Technology Co.,Ltd"
602	1	Dansensor A/S
603	1	"Air2U, Inc."
604	1	Bender GmbH &amp; Co.KG
605	1	Sectronic
606	1	Woojinnet
607	1	"shenzhen eyunmei technology co,.ltd"
608	1	"Sichuan Changhong Network Technologies Co., Ltd."
609	1	COMMODORE INTERNATIONAL
610	1	TECNOMEN OY
611	1	"Winmate Communication, Inc."
612	1	"Western Digital Technologies, Inc."
613	1	"Interface Masters, Inc"
614	1	Bay Networks
615	1	Hager Electro SAS
616	1	KYOCERA CORPORATION
617	1	"Kingston Technology Company, Inc."
618	1	"HIMEJI ABC TRADING CO.,LTD."
619	1	"Shenzhen Zowee Technology Co., Ltd"
620	1	ASSMANN Electronic GmbH
621	1	"Guangdong Huiwei High-tech Co., Ltd."
622	1	Eseye Design Ltd
623	1	Pumatronix Equipamentos Eletronicos Ltda.
624	1	Telecom FM
625	1	Huaqin Technology Co. LTD
626	1	MasterImage 3D
627	1	"Linkintec Co., Ltd"
628	1	Ruf Telematik AG
629	1	"Joyent, Inc."
630	1	QTECH LLC
631	1	Genew Technologies
632	1	Impex-Sat GmbH&amp;Co KG
633	1	DigiPower Manufacturing Inc.
634	1	Loxone Electronics GmbH
635	1	IBM
636	1	Armadeus Systems
637	1	VIETNAM POST AND TELECOMMUNICATION INDUSTRY TECHNOLOGY JOIN STOCK COMPANY
638	1	"AOpen, Inc."
639	1	SSI COMPUTER CORP
640	1	Teltonika
641	1	Aurora Networks
642	1	Black Box Corp.
643	1	CYCLADES CORPORATION
644	1	RUBY TECH CORPORATION
645	1	"Guangzhou Blue Cheetah Intelligent Technology Co., Ltd."
646	1	StarTech.com
647	1	ICOMM HK LIMITED
648	1	CASwell INC.
649	1	"SHUTTLE, INC."
650	1	"HIWIFI Co., Ltd."
651	1	SAMSON AG
652	1	"SANYO DENKI CO., LTD."
653	1	Jensen Scandinavia AS
654	1	DIGITAL EQUIPMENT CORPORATION
655	1	AZROAD TECHNOLOGY COMPANY LIMITED
656	1	"Wuhan Pont Technology CO. , LTD"
657	1	STANDARD MICROSYSTEMS CORP.
658	1	"Beijing Tianyu Communication Equipment Co., Ltd"
659	1	INSYS Microelectronics GmbH
660	1	"Thread Technology Co., Ltd"
661	1	ANI COMMUNICATIONS INC.
662	1	DICA TECHNOLOGIES AG
663	1	"ADLINK TECHNOLOGY, INC."
664	1	"Comnect Technology CO.,LTD"
665	1	"Shenzhen RF Technology Co., Ltd"
666	1	UPVEL
667	1	Comtrend Corporation
668	1	Qolsys Inc.
669	1	"SparkLAN Communications, Inc."
670	1	"JD Cloud Computing Co., Ltd."
671	1	RPS S.p.A.
672	1	Intrakey technologies GmbH
673	1	AVerMedia Information Inc.
674	1	Edgecore Networks Corporation
675	1	Asiamajor Inc.
676	1	"Cincoze Co., Ltd."
677	1	"IEIT SYSTEMS Co., Ltd."
678	1	EndRun Technologies LLC
679	1	Atmel Corporation
680	1	"WalkAbout Computers, Inc."
681	1	"T&W Electronics (ShenZhen) Co.,Ltd"
682	1	"SMC Networks, Inc."
683	1	Dream-Multimedia-Tv GmbH
684	1	"SUNIX Co., Ltd."
685	1	Espressif Inc.
686	1	Palo Alto Networks
687	1	PINON Corp.
688	1	WYSE TECHNOLOGY LLC
689	1	Allnet GmbH
690	1	SMC Networks Inc.
691	1	SUNGWOON SYSTEMS
692	1	ORANGE POLSKA
693	1	Thecus Technology Corp.
694	1	"Shenzhen Xinfa Electronic Co.,ltd"
695	1	"Shenzhen Comnect Technology Co.,LTD"
696	1	Armorlink Co .Ltd
697	1	Panasonic Appliances Company
698	1	HOSTNET CORPORATION
699	1	ALAXALA Networks Corporation
700	1	"DIGITAL TELEMEDIA CO.,LTD."
701	1	"PLAT'C2,Inc"
702	1	Digital China (Shanghai) Networks Ltd.
703	1	Whirlpool Corporation
704	1	"Strawberry Linux Co.,Ltd."
705	1	Elsys Equipamentos Eletr?nicos Ltda
706	1	Razer Inc
